Jump #,Date,Drop Zone,Aircraft,Gear,Jump Type,Exit Alt,Depl Alt,Altitude Unit,Dist to Target,Delay (s),Cutaway,Notes
672,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
673,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
674,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
675,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
676,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
677,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
678,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
679,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
680,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
681,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
682,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
683,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
684,1990-01-29,,,Racer / Sabre 170,,8200,2200,Feet,0,37,No,
685,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
686,1990-01-29,,,Racer / Sabre 170,,10500,2200,Feet,0,50,No,
687,1990-01-29,,,Racer / Sabre 170,,3200,2943,Feet,0,4,No,
688,1990-01-29,,,Racer / Sabre 170,,3200,2798,Feet,0,5,No,
689,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
690,1990-01-29,,,Racer / Sabre 170,,14500,2200,Feet,0,73,No,
691,1990-01-29,,,Racer / Sabre 170,,16000,2200,Feet,0,81,No,
692,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
693,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
694,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
695,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
696,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
697,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
698,1990-01-29,,,Racer / Sabre 170,,14500,2200,Feet,0,73,No,
699,1990-01-29,,,Racer / Sabre 170,,13000,2200,Feet,0,64,No,
700,1990-01-29,,,Racer / Sabre 170,,14500,2200,Feet,0,73,No,
701,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
702,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
703,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
704,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
705,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
706,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
707,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
708,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
709,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
710,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
711,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
712,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
713,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
714,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
715,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
716,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
717,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
718,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
719,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
720,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
721,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
722,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
723,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
724,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
725,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
726,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
727,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
728,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
729,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
730,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
731,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
732,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
733,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
734,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
735,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
736,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
737,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
738,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
739,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
740,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
741,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
742,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
743,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
744,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
745,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
746,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
747,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
748,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
749,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
750,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
751,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
752,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
753,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
754,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
755,1990-01-29,,,Racer / Sabre 170,,12500,2200,Feet,0,61,No,
756,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
757,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
758,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
759,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
760,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
761,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
762,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
763,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
764,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
765,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
766,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
767,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
768,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
769,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
770,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
771,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
772,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
773,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
774,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
775,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
776,1990-01-29,,,Racer / Sabre 170,,8000,7936,Feet,0,2,No,
777,1990-01-29,,,Racer / Sabre 170,,4000,2200,Feet,0,13,No,
778,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
779,1990-01-29,,,Racer / Sabre 170,,15000,2200,Feet,0,75,No,
780,1990-01-29,,,Racer / Sabre 170,,15500,2200,Feet,0,78,No,
781,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
782,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
783,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
784,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
785,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
786,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
787,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
788,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
789,1990-01-29,,,Racer / Sabre 170,,8000,7936,Feet,0,2,No,
790,1990-01-29,,,Racer / Sabre 170,,8000,7936,Feet,0,2,No,
791,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
792,1990-01-29,,,Racer / Sabre 170,,13000,2200,Feet,0,64,No,
793,1990-01-29,,,Racer / Sabre 170,,8000,7936,Feet,0,2,No,
794,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
795,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
796,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
797,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
798,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
799,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
800,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
801,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
802,1990-01-29,,,Racer / Sabre 170,,2500,2243,Feet,0,4,No,
803,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
804,1990-01-29,,,Racer / Sabre 170,,6000,2200,Feet,0,24,No,
805,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
806,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
807,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
808,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
809,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
810,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
811,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
812,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
813,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
814,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
815,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
816,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
817,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
818,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
819,1990-01-29,,,Racer / Sabre 170,,3000,2249,Feet,0,7,No,
820,1990-01-29,,,Racer / Sabre 170,,10500,2200,Feet,0,50,No,
821,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
822,1990-01-29,,,Racer / Sabre 170,,8000,2200,Feet,0,36,No,
823,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
824,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
825,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
826,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
827,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
828,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
829,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
830,1990-01-29,,,Racer / Sabre 170,,10000,9936,Feet,0,2,No,
831,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
832,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
833,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
834,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
835,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
836,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
837,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
838,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
839,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
840,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
841,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
842,1990-01-29,,,Racer / Sabre 170,,10500,2200,Feet,0,50,No,
843,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
844,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
845,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
846,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
847,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
848,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
849,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
850,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
851,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
852,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
853,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
854,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
855,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
856,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
857,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
858,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
859,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
860,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
861,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
862,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
863,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
864,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
865,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
866,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
867,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
868,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
869,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
870,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
871,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
872,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
873,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
874,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
875,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
876,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
877,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
878,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
879,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
880,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
881,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
882,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
883,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
884,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
885,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
886,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
887,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
888,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
889,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
890,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
891,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
892,1990-01-29,,,Racer / Sabre 170,,5000,2200,Feet,0,19,No,
893,1990-01-29,,,Racer / Sabre 170,,5500,2200,Feet,0,21,No,
894,1990-01-29,,,Racer / Sabre 170,,7500,2200,Feet,0,33,No,
895,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
896,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
897,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
898,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
899,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
900,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
901,1990-01-29,,,Racer / Sabre 170,,5000,2200,Feet,0,19,No,
902,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
903,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
904,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
905,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
906,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
907,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
908,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
909,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
910,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
911,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
912,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
913,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
914,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
915,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
916,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
917,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
918,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
919,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
920,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
921,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
922,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
923,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
924,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
925,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
926,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
927,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
928,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
929,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
930,1990-01-29,,,Racer / Sabre 170,,4500,2200,Feet,0,16,No,
931,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
932,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
933,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
934,1990-01-29,,,Racer / Sabre 170,,8500,2200,Feet,0,39,No,
935,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
936,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
937,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
938,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
939,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
940,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
941,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
942,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
943,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
944,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
945,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
946,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
947,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
948,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
949,1990-01-29,,,Racer / Sabre 170,,7000,2200,Feet,0,30,No,
950,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
951,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
952,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
953,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
954,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
955,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
956,1990-01-29,,,Racer / Sabre 170,,5000,2200,Feet,0,19,No,
957,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
958,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
959,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
960,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
961,1990-01-29,,,Racer / Sabre 170,,11500,2200,Feet,0,56,No,
962,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
963,1990-01-29,,,Racer / Sabre 170,,8000,2200,Feet,0,36,No,
964,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
965,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
966,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
967,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
968,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
969,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
970,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
971,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
972,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
973,1990-01-29,,,Racer / Sabre 170,,5000,2200,Feet,0,19,No,
974,1990-01-29,,,Racer / Sabre 170,,5000,2200,Feet,0,19,No,
975,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
976,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
977,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
978,1990-01-29,,,Racer / Sabre 170,,14000,2200,Feet,0,70,No,
979,1990-01-29,,,Racer / Sabre 170,,9000,2200,Feet,0,41,No,
980,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
981,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
982,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
983,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
984,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
985,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
986,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
987,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
988,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
989,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
990,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
991,1990-01-29,,,Racer / Sabre 170,,15000,2200,Feet,0,75,No,
992,1990-01-29,,,Racer / Sabre 170,,15000,2200,Feet,0,75,No,
993,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
994,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
995,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
996,1990-01-29,,,Racer / Sabre 170,,12000,2200,Feet,0,58,No,
997,1990-01-29,,,Racer / Sabre 170,,6000,2200,Feet,0,24,No,
998,1990-01-29,,,Racer / Sabre 170,,10000,2200,Feet,0,47,No,
999,1990-01-29,,,Racer / Sabre 170,,11000,2200,Feet,0,53,No,
1000,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1001,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1002,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1003,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1004,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1005,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1006,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1007,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1008,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1009,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1010,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1011,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1012,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1013,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1014,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1015,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1016,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1017,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
1018,1990-01-29,,,Racer / Sabre 170,,13500,2200,Feet,0,67,No,
